File,,04aab0f7-7485-4fb9-a5df-eeb0835998ce(%Of-File),04aab0f7-7485-4fb9-a5df-eeb0835998ce(%Of-Feature),04aab0f7-7485-4fb9-a5df-eeb0835998ce(#Propagations),330c27af-ba5c-43c8-852e-6037f446bdcf(%Of-File),330c27af-ba5c-43c8-852e-6037f446bdcf(%Of-Feature),330c27af-ba5c-43c8-852e-6037f446bdcf(#Propagations),4a823727-ce8c-4ecf-83cd-5d5309aecc18(%Of-File),4a823727-ce8c-4ecf-83cd-5d5309aecc18(%Of-Feature),4a823727-ce8c-4ecf-83cd-5d5309aecc18(#Propagations),4f04e3e9-7d60-48a5-bbda-c297ff1af580(%Of-File),4f04e3e9-7d60-48a5-bbda-c297ff1af580(%Of-Feature),4f04e3e9-7d60-48a5-bbda-c297ff1af580(#Propagations),518aa863-5a26-488f-83a6-b042a6f8ca0a(%Of-File),518aa863-5a26-488f-83a6-b042a6f8ca0a(%Of-Feature),518aa863-5a26-488f-83a6-b042a6f8ca0a(#Propagations),6c5e5504-faa3-4453-b957-64c8d204c211(%Of-File),6c5e5504-faa3-4453-b957-64c8d204c211(%Of-Feature),6c5e5504-faa3-4453-b957-64c8d204c211(#Propagations),88a3fec4-de39-4f7f-8ec3-d0287c8ae6a0(%Of-File),88a3fec4-de39-4f7f-8ec3-d0287c8ae6a0(%Of-Feature),88a3fec4-de39-4f7f-8ec3-d0287c8ae6a0(#Propagations),8caef55f-dee4-496c-a963-c71bf40ba0ba(%Of-File),8caef55f-dee4-496c-a963-c71bf40ba0ba(%Of-Feature),8caef55f-dee4-496c-a963-c71bf40ba0ba(#Propagations),af417653-3d72-44f4-9c3a-1ba5713f2cbd(%Of-File),af417653-3d72-44f4-9c3a-1ba5713f2cbd(%Of-Feature),af417653-3d72-44f4-9c3a-1ba5713f2cbd(#Propagations),c1f85b61-59e6-48b6-9d64-6249e46dc7f3(%Of-File),c1f85b61-59e6-48b6-9d64-6249e46dc7f3(%Of-Feature),c1f85b61-59e6-48b6-9d64-6249e46dc7f3(#Propagations),e3333956-c11a-4eaf-85f8-06af6ea652fd(%Of-File),e3333956-c11a-4eaf-85f8-06af6ea652fd(%Of-Feature),e3333956-c11a-4eaf-85f8-06af6ea652fd(#Propagations),e43dce18-8b6e-406f-840d-750bf322126b(%Of-File),e43dce18-8b6e-406f-840d-750bf322126b(%Of-Feature),e43dce18-8b6e-406f-840d-750bf322126b(#Propagations)
src\main\resources\static\js\produits_script.js,,0,0,0,1.2165450121654502,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\controllers\LoginController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,0,0
src\main\resources\templates\utilisateur.html,,5.123839009287925,33.33333333333333,2,0,0,0,0,0,0,0,0,0,0,0,0,2.4226006191950464,14.285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\controllers\APIRestController.java,,21.396934895935406,66.66666666666666,4,0,0,0,0,0,0,0,0,0,0,0,0,17.453847058362403,42.857142857142854,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\controllers\UtilisateurController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89184448991523,28.57142857142857,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\controllers\ProduitController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.38240574506284,14.285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\security\SecurityConfig.java,,0,0,0,0,0,0,0,0,0,6.319200648123144,100,2,35.32271131514988,33.33333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\resources\templates\header.html,,0,0,0,0,0,0,0,0,0,0,0,0,15.911222256955298,33.33333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\resources\templates\detailsProduit.html,,0,0,0,0,0,0,0,0,0,0,0,0,18.607395751376867,33.33333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\resources\templates\checkout.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.71264367816092,100,1
src\main\resources\static\css\produits_style.css,,0,0,0,0,0,0,0.4119973632168754,100,1,0,0,0,0,0,0,0,0,0,0.16479894528675015,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\dao\ProduitRepository.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07326007326007326,100,2,0,0,0,0,0,0,0,0,0,0,0,0
